Date,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5
2021-12-23 05:22:39,MAY-22|2022-05-18 13:00:00|UNKNOWN,MAR-22|2022-03-16 14:00:00|UNKNOWN,FEB-22|2022-02-16 14:00:00|UNKNOWN,APR-22|2022-04-20 13:00:00|UNKNOWN,JAN-22|2022-01-19 14:00:00|UNKNOWN
2022-01-18 05:22:41,MAY-22|2022-05-18 13:00:00|UNKNOWN,MAR-22|2022-03-15 14:00:00|UNKNOWN,FEB-22|2022-02-16 14:00:00|UNKNOWN,APR-22|2022-04-20 13:00:00|UNKNOWN,JAN-22|2022-01-19 14:00:00|UNKNOWN
2022-01-20 05:22:35,MAY-22|2022-05-18 13:00:00|UNKNOWN,MAR-22|2022-03-15 14:00:00|UNKNOWN,FEB-22|2022-02-16 14:00:00|UNKNOWN,APR-22|2022-04-20 13:00:00|UNKNOWN,JUN-22|2022-06-15 13:00:00|UNKNOWN
2022-02-16 20:06:56,MAY-22|2022-05-18 13:00:00|UNKNOWN,MAR-22|2022-03-15 14:00:00|UNKNOWN,JUL-22|2022-07-20 13:00:00|UNKNOWN,APR-22|2022-04-20 13:00:00|UNKNOWN,JUN-22|2022-06-15 13:00:00|UNKNOWN
2022-03-11 20:06:56,MAY-22|2022-05-18 12:00:00|UNKNOWN,MAR-22|2022-03-15 13:00:00|UNKNOWN,JUL-22|2022-07-20 12:00:00|UNKNOWN,APR-22|2022-04-20 12:00:00|UNKNOWN,JUN-22|2022-06-15 12:00:00|UNKNOWN
2022-03-16 20:06:55,MAY-22|2022-05-18 12:00:00|UNKNOWN,AUG-22|2022-03-15 13:00:00|UNKNOWN,JUL-22|2022-07-20 12:00:00|UNKNOWN,APR-22|2022-04-20 12:00:00|UNKNOWN,JUN-22|2022-06-15 12:00:00|UNKNOWN
2022-03-23 20:06:57,MAY-22|2022-05-18 12:00:00|UNKNOWN,AUG-22|2022-08-17 12:00:00|UNKNOWN,JUL-22|2022-07-20 12:00:00|UNKNOWN,APR-22|2022-04-20 12:00:00|UNKNOWN,JUN-22|2022-06-15 12:00:00|UNKNOWN
2022-03-28 20:06:56,MAY-22|2022-05-18 13:00:00|UNKNOWN,AUG-22|2022-08-17 13:00:00|UNKNOWN,JUL-22|2022-07-20 13:00:00|UNKNOWN,APR-22|2022-04-20 13:00:00|UNKNOWN,JUN-22|2022-06-15 13:00:00|UNKNOWN
2022-04-20 20:06:56,MAY-22|2022-05-18 13:00:00|UNKNOWN,AUG-22|2022-08-17 13:00:00|UNKNOWN,JUL-22|2022-07-20 13:00:00|UNKNOWN,SEP-22|2022-09-21 13:00:00|UNKNOWN,JUN-22|2022-06-15 13:00:00|UNKNOWN
2022-05-18 20:07:09,OCT-22|2022-10-19 13:00:00|UNKNOWN,AUG-22|2022-08-17 13:00:00|UNKNOWN,JUL-22|2022-07-20 13:00:00|UNKNOWN,SEP-22|2022-09-21 13:00:00|UNKNOWN,JUN-22|2022-06-15 13:00:00|UNKNOWN
2022-06-15 20:06:56,OCT-22|2022-10-19 13:00:00|UNKNOWN,AUG-22|2022-08-17 13:00:00|UNKNOWN,JUL-22|2022-07-20 13:00:00|UNKNOWN,SEP-22|2022-09-21 13:00:00|UNKNOWN,NOV-22|2022-11-16 14:00:00|UNKNOWN
2022-07-20 20:06:56,OCT-22|2022-10-19 13:00:00|UNKNOWN,AUG-22|2022-08-17 13:00:00|UNKNOWN,DEC-22|2022-12-21 14:00:00|UNKNOWN,SEP-22|2022-09-21 13:00:00|UNKNOWN,NOV-22|2022-11-16 14:00:00|UNKNOWN
2022-08-18 20:06:56,OCT-22|2022-10-19 13:00:00|UNKNOWN,JAN-23|2023-01-18 14:00:00|UNKNOWN,DEC-22|2022-12-21 14:00:00|UNKNOWN,SEP-22|2022-09-21 13:00:00|UNKNOWN,NOV-22|2022-11-16 14:00:00|UNKNOWN
2022-09-21 20:06:56,OCT-22|2022-10-19 13:00:00|UNKNOWN,JAN-23|2023-01-18 14:00:00|UNKNOWN,DEC-22|2022-12-21 14:00:00|UNKNOWN,FEB-23|2023-02-15 14:00:00|UNKNOWN,NOV-22|2022-11-16 14:00:00|UNKNOWN
2022-10-19 20:06:56,MAR-23|2023-03-22 14:00:00|UNKNOWN,JAN-23|2023-01-18 14:00:00|UNKNOWN,DEC-22|2022-12-21 14:00:00|UNKNOWN,FEB-23|2023-02-15 14:00:00|UNKNOWN,NOV-22|2022-11-16 14:00:00|UNKNOWN
2022-11-16 20:06:56,MAR-23|2023-03-22 14:00:00|UNKNOWN,JAN-23|2023-01-18 14:00:00|UNKNOWN,DEC-22|2022-12-21 14:00:00|UNKNOWN,FEB-23|2023-02-15 14:00:00|UNKNOWN,APR-23|2023-04-19 13:00:00|UNKNOWN
2022-12-21 20:06:54,MAR-23|2023-03-22 14:00:00|UNKNOWN,JAN-23|2023-01-18 14:00:00|UNKNOWN,MAY-23|2023-05-17 13:00:00|UNKNOWN,FEB-23|2023-02-15 14:00:00|UNKNOWN,APR-23|2023-04-19 13:00:00|UNKNOWN
2023-01-18 20:15:46,MAR-23|2023-03-22 14:00:00|UNKNOWN,JUN-23|2023-06-21 13:00:00|UNKNOWN,MAY-23|2023-05-17 13:00:00|UNKNOWN,FEB-23|2023-02-15 14:00:00|UNKNOWN,APR-23|2023-04-19 13:00:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-03-22 14:00:00|TRADEABLE,JUN-23|2023-06-21 13:00:00|OFFLINE,MAY-23|2023-05-17 13:00:00|OFFLINE,FEB-23|2023-02-15 14:00:00|TRADEABLE,APR-23|2023-04-19 13:00:00|OFFLINE
