DATE_TIME,current_contract,next_contract,carry_contract
2001-01-29,20010300,20010500,20010500
2001-03-30,20010500,20010700,20010700
2001-05-30,20010700,20011000,20011000
2001-08-30,20011000,20020300,20020300
2002-01-28,20020300,20020500,20020500
2002-03-28,20020500,20020700,20020700
2002-05-30,20020700,20021000,20021000
2002-08-30,20021000,20030300,20030300
2003-01-28,20030300,20030500,20030500
2003-03-31,20030500,20030700,20030700
2003-05-30,20030700,20031000,20031000
2003-08-29,20031000,20040300,20040300
2004-01-29,20040300,20040500,20040500
2004-03-30,20040500,20040700,20040700
2004-05-28,20040700,20041000,20041000
2004-08-30,20041000,20050300,20050300
2005-01-28,20050300,20050500,20050500
2005-03-30,20050500,20050700,20050700
2005-05-31,20050700,20051000,20051000
2005-08-30,20051000,20060300,20060300
2006-01-27,20060300,20060500,20060500
2006-03-30,20060500,20060700,20060700
2006-05-30,20060700,20061000,20061000
2006-08-30,20061000,20070300,20070300
2007-01-29,20070300,20070500,20070500
2007-03-30,20070500,20070700,20070700
2007-05-30,20070700,20071000,20071000
2007-08-30,20071000,20080300,20080300
2008-01-29,20080300,20080500,20080500
2008-03-31,20080500,20080700,20080700
2008-05-30,20080700,20081000,20081000
2008-08-29,20081000,20090300,20090300
2009-01-28,20090300,20090500,20090500
2009-03-30,20090500,20090700,20090700
2009-05-29,20090700,20091000,20091000
2009-08-31,20091000,20100300,20100300
2010-01-28,20100300,20100500,20100500
2010-03-30,20100500,20100700,20100700
2010-05-28,20100700,20101000,20101000
2010-08-30,20101000,20110300,20110300
2011-01-28,20110300,20110500,20110500
2011-03-30,20110500,20110700,20110700
2011-05-31,20110700,20111000,20111000
2011-08-30,20111000,20120300,20120300
2012-01-30,20120300,20120500,20120500
2012-03-30,20120500,20120700,20120700
2012-05-30,20120700,20121000,20121000
2012-08-30,20121000,20130300,20130300
2013-01-28,20130300,20130500,20130500
2013-03-28,20130500,20130700,20130700
2013-05-30,20130700,20131000,20131000
2013-08-30,20131000,20140300,20140300
2014-01-28,20140300,20140500,20140500
2014-03-31,20140500,20140700,20140700
2014-05-30,20140700,20141000,20141000
2014-08-29,20141000,20150300,20150300
2015-01-28,20150300,20150500,20150500
2015-03-30,20150500,20150700,20150700
2015-05-29,20150700,20151000,20151000
2015-08-31,20151000,20160300,20160300
2016-01-29,20160300,20160500,20160500
2016-03-30,20160500,20160700,20160700
2016-05-31,20160700,20161000,20161000
2016-08-30,20161000,20170300,20170300
2017-01-27,20170300,20170500,20170500
2017-03-30,20170500,20170700,20170700
2017-05-30,20170700,20171000,20171000
2017-08-30,20171000,20180300,20180300
2018-01-29,20180300,20180500,20180500
2018-03-29,20180500,20180700,20180700
2018-05-30,20180700,20181000,20181000
2018-08-30,20181000,20190300,20190300
2019-01-28,20190300,20190500,20190500
2019-03-29,20190500,20190700,20190700
2019-05-30,20190700,20191000,20191000
2019-08-30,20191000,20200300,20200300
2020-01-29,20200300,20200500,20200500
2020-03-30,20200500,20200700,20200700
2020-05-29,20200700,20201000,20201000
2020-08-31,20201000,20210300,20210300
2021-01-28,20210300,20210500,20210500
2021-03-30,20210500,20210700,20210700
2021-05-28,20210700,20211000,20211000
2021-08-30,20211000,20220300,20220300
2022-01-28,20220300,20220500,20220500
2022-03-30,20220500,20220700,20220700
2022-05-29,20220700,20221000,20221000
